Lfd. Nr. ,Bezeichnung,Zusammensetzung_Matrix,Zusammensetzung_Polymer,Zusammensetzung_Masse Polymer [g],Temperaturprogramm,Auswertung_Masse Polymerfraktion nach DS [g],Auswertung_Schmelzenthalpie [J/g],Auswertung_σ [J/g],"Auswertung_ω PE (191,35 J/g) [%]",Auswertung_Toleranz [%],Auswertung_Masse PE in Zielfraktion [g],Auswertung_Anzahl Einzelbestimmungen n,Auswertung_WFR [%],Auswertung_Toleanz [%]
1.0,DS Sand-PE-100ppm-1,PF Sand,PE-GUR,0.1001, -50 bis 250 mit 20 K/min,0.0858,129.5,3.328663395418657,67.67703161745493,1.7395680143290606,0.05806689312777633,3.0,58.0088842435328,1.4910582979963378
2.0,DS Sand-PE-100ppm-2,PF Sand,PE-GUR,0.1008, -50 bis 250 mit 20 K/min,0.0692,128.86666666666667,4.605793453177561,67.34604999564499,2.4069994529279124,0.04660346659698633,3.0,46.23359781447057,1.6524242276052732
3.0,DS Sand-PE-60ppm-1,PF Sand,PE-GUR,0.0596, -50 bis 250 mit 20 K/min,0.0467,137.86666666666667,11.673188653205823,72.04947304241792,6.100438282312947,0.03364710391080916,3.0,56.45487233357242,4.7800414057720575
4.0,DS Sand-PE-60ppm-2,PF Sand,PE-GUR,0.0595, -50 bis 250 mit 20 K/min,0.0496,135.2,0.5567764362830011,70.65586621374445,0.2909727913681741,0.03504530964201724,3.0,58.89968007061721,0.2425588311237216
5.0,DS Sand-PE-20ppm-1,PF Sand,PE-GUR,0.0198, -50 bis 250 mit 20 K/min,0.0163,148.66666666666666,1.677299416721212,77.69358069854542,0.8765609703272601,0.012664053653862901,3.0,63.959866938701516,0.7216133240572896
6.0,DS Sand-PE-20ppm-2,PF Sand,PE-GUR,0.02, -50 bis 250 mit 20 K/min,0.0169,140.46666666666667,5.953430383680778,73.40823970037454,3.111277963773597,0.012405992509363296,3.0,62.02996254681648,2.629029879388689
7.0,DS Elbe-PE-100ppm-1,PF Elbe,PE-GUR,0.01, -50 bis 250 mit 20 K/min,0.0203,90.54,20.92002151050525,47.31643585053567,10.932856812388426,0.00960523647765874,3.0,96.05236477658741,22.193699329148505
8.0,DS Elbe-PE-100ppm-2,PF Elbe,PE-GUR,0.0102, -50 bis 250 mit 20 K/min,0.0501,30.72666666666667,17.623635644591985,16.057834683389952,9.210157117633647,0.008044975176378366,3.0,78.8723056507683,45.23812466602409
9.0,DS Elbe-PE-60ppm-1,PF Elbe,PE-GUR,0.006, -50 bis 250 mit 20 K/min,0.0232,70.15666666666668,11.248228008594603,36.66405365386291,5.8783527612200706,0.008506060447696195,3.0,141.7676741282699,22.729630676717605
10.0,DS Elbe-PE-60ppm-2,PF Elbe,PE-GUR,0.0059, -50 bis 250 mit 20 K/min,0.0182,40.24666666666667,6.832000683060027,21.033011061754205,3.570421052030325,0.0038280080132392655,3.0,64.88149174981807,11.013841211347785
11.0,DS Elbe-PE-20ppm-1,PF Elbe,PE-GUR,0.0019, -50 bis 250 mit 20 K/min,0.0774,11.925666666666666,4.777196493062988,6.232383938681299,2.4965751204928077,0.004823865168539325,3.0,253.88764044943818,101.70258648744384
12.0,DS Elbe-PE-20ppm-2,PF Elbe,PE-GUR,0.0022, -50 bis 250 mit 20 K/min,0.0429,2.4543666666666666,1.838845317946383,1.2826583050256948,0.9609852719866125,0.000550260412856023,3.0,25.011836948001044,18.739212803738944
13.0,DS Weis-PE-100ppm-1,PF Weißeritz,PE-GUR,0.01, -50 bis 250 mit 20 K/min,0.1581,11.004333333333333,3.604529973981818,5.7508927793746185,1.8837365947122122,0.009092161484191272,3.0,90.92161484191271,29.781875562400074
14.0,DS Weis-PE-100ppm-2,PF Weißeritz,PE-GUR,0.0102, -50 bis 250 mit 20 K/min,0.089,24.096666666666664,8.293023172120867,12.592979705600557,4.333955146130581,0.011207751937984496,4.0,109.8799209606323,37.81588313780605
15.0,DS Weis-PE-60ppm-1,PF Weißeritz,PE-GUR,0.006, -50 bis 250 mit 20 K/min,0.1325,7.017333333333333,4.30685097644826,3.6672763696542114,2.250771349071471,0.00485914118979183,5.0,80.98568649653049,49.704533958661656
16.0,DS Weis-PE-60ppm-2,PF Weißeritz,PE-GUR,0.0059, -50 bis 250 mit 20 K/min,0.0849,12.37,1.8888885620914773,6.464593676509015,0.9871379995252036,0.005488440031356154,6.0,93.02440731112125,14.204748501642339
17.0,DS Weis-PE-20ppm-1,PF Weißeritz,PE-GUR,0.002, -50 bis 250 mit 20 K/min,0.0548,9.100666666666667,3.7625190143484137,4.756031704555353,1.9663020717786326,0.0026063053740963335,7.0,130.31526870481667,53.87667676673453
18.0,DS Weis-PE-20ppm-2,PF Weißeritz,PE-GUR,0.002, -50 bis 250 mit 20 K/min,0.062,9.800333333333333,2.286058252392833,5.121679296228551,1.1946998967299884,0.0031754411636617016,8.0,158.77205818308508,37.035696798629644
